_Sr No.,World Ranking,Germany Ranking,_University Name,University Name,Course Type,Course Name,Course World Ranking,Teaching language,_language Req.,_Admission without IELTS/TOFEL,Required German Grade,GRE,Tution Fee (Per semester),Beginning Semester,Application DeadLine,Duration,Go to course website,Submit application to,_Daad SIte,Updated By,Checked By,Post writing ,Comment,
876,6578*,172*,Dresden International University,<a href="https://howtoabroad.com/dresden-international-university/" title="Dresden International University" target="_blank" >Dresden International University</a>,Master's degree,Preventive Medicine (Master of Science& part-time programme),,English,,,,,"7.500,00",Winter,,4 semesters,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5359/,,,,,
1012,2884,113,EBS University fur Wirtschaft und Recht,<a href="https://howtoabroad.com/ebs-university-for-business-and-law/" title="EBS Universität für Wirtschaft und Recht" target="_blank" >EBS Universität für Wirtschaft und Recht</a>,Bachelor's degree,Bachelor's in Business Studies (BSc),,English,,,,,"6.950,00",Winter& Summer,,6 semesters,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4080/,,,,,
1385,2884,113,EBS University fur Wirtschaft und Recht,<a href="https://howtoabroad.com/ebs-university-for-business-and-law/" title="EBS Universität für Wirtschaft und Recht" target="_blank" >EBS Universität für Wirtschaft und Recht</a>,Master's degree,Durham University & EBS Universität Executive MBA,,English,,,,,"13.333,00",,,3 semesters,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3953/,,,,,
1387,2884,113,EBS University fur Wirtschaft und Recht,<a href="https://howtoabroad.com/ebs-university-for-business-and-law/" title="EBS Universität für Wirtschaft und Recht" target="_blank" >EBS Universität für Wirtschaft und Recht</a>,Master's degree,Master of Business Administration (full-time),,English,,,,,"7.833,00",,,3 semesters,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3954/,,,,,
1388,2884,113,EBS University fur Wirtschaft und Recht,<a href="https://howtoabroad.com/ebs-university-for-business-and-law/" title="EBS Universität für Wirtschaft und Recht" target="_blank" >EBS Universität für Wirtschaft und Recht</a>,Master's degree,Master's in Automotive Management (MSc),,English,,,,,"7.950,00",,,3 semesters,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4168/,,,,,
1389,2884,113,EBS University fur Wirtschaft und Recht,<a href="https://howtoabroad.com/ebs-university-for-business-and-law/" title="EBS Universität für Wirtschaft und Recht" target="_blank" >EBS Universität für Wirtschaft und Recht</a>,Master's degree,Master's in Finance (MSc),,English,,,,,"7.950,00",,,3 semesters,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3955/,,,,,
1390,2884,113,EBS University fur Wirtschaft und Recht,<a href="https://howtoabroad.com/ebs-university-for-business-and-law/" title="EBS Universität für Wirtschaft und Recht" target="_blank" >EBS Universität für Wirtschaft und Recht</a>,Master's degree,Master's in Management (MSc),,English,,,,,"7.950,00",,,3 semesters,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3938/,,,,,
1391,2884,113,EBS University fur Wirtschaft und Recht,<a href="https://howtoabroad.com/ebs-university-for-business-and-law/" title="EBS Universität für Wirtschaft und Recht" target="_blank" >EBS Universität für Wirtschaft und Recht</a>,Master's degree,Master's in Real Estate (MSc),,English,,,,,"7.950,00",,,3 semesters,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3957/,,,,,
229,3747,152,ESMT Berlin,<a href="https://howtoabroad.com/esmt-berlin/" title="ESMT Berlin" target="_blank" >ESMT Berlin</a>   ",Master's degree,Executive MBA (EMBA),,English,,,,,"19.167,00",Winter,,3 semesters,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4135/,,,,,
723,3747,152,ESMT Berlin,<a href="https://howtoabroad.com/esmt-berlin/" title="ESMT Berlin" target="_blank" >ESMT Berlin</a>   ",Master's degree,Master's in Management (MIM),,English,,,,,"7.375,00",Winter,,4 semesters,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4464/,,,,,
