S.no;World_Ranking;German_Ranking;University_Name;HTA_Uni_Link;Course Type;Course_Type;City;Course_Name;Course_Ranking;Teaching_Language;Language_Requirement;Admission_IELTS_TOFEL;Required_German_Grade;GRE;Tuition_Fee;Tuition Fee Per;Semester_Start;Application_Deadline_Winter;Application_Deadline_Summer;Duration;Course_Link;Application_Link;Logo;Responsible Person;_Daad SIte;Updated;State;Comment;Tags_Alternate;Uni_Type
1200;93;3;(TU) Technical University Munich;https://howtoabroad.com/technical-university-of-munich/;Master;Master;Garching;Master Mathematics in Science and Engineering;3 (Mathematics in Science and Engineering );English, German;IELTS 6.5/TOEFL(iBT 88);;;;None;;Winter, Summer;31-May;30-Nov;4 semesters;https://www.tum.de/en/studies/degree-programs/detail/mathematics-in-science-and-engineering-master-of-science-msc;https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/login;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/03/TUM.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3964/;11-Jun;Bavaria;;;
1201;152;8;Free University Berlin;https://howtoabroad.com/freie-university-of-berlin/;Master;Master;Berlin;Master of Arts (MA) in Interdisciplinary Latin American Studies;;German, Spanish;;;;;None;;Winter;15-Aug;;4 semesters;https://www.fu-berlin.de/en/studium/studienangebot/master/lateinamerikastudien_interdisziplinaere/index.html;https://www.uni-assist.de/en/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/09/10474234_1600356450218742_3677472253407356161_n.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3890/;11-Jun;Brandenburg;;;
1202;1223;65;University of Passau;https://howtoabroad.com/university-of-passau/;Master;Master;Passau;Master of Arts in European Studies;;English, German;;;;;None;;Winter, Summer;30-Jun;31-Jan;4 semesters;https://www.uni-passau.de/en/ma-eurstudies/;https://www.uni-passau.de/en/apply/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/07/800px-Uni_Passau-Logo.svg_.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3644/;11-Jun;Bavaria;;;
1203;198;15;Leipzig University;https://howtoabroad.com/leipzig-university/;Master;Master;Leipzig;Master of Arts in German as a Foreign and Second Language in the Vietnamese-German Context;;English, German;;;;;None;;Winter;31-May;;4 semesters;https://www.uni-leipzig.de/en/studying/prospective-students/courses-of-study/degree-programme/course/show/german-as-a-foreign-and-second-language-in-the-vietnamese-german-context-hanoi-vietnam-ma;https://www.philol.uni-leipzig.de/herder-institut/studium/deutsch-als-fremdsprache-im-vietnamesisch-deutschen-kontext-m-a;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/10/Leipzig-University-1.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7000/;11-Jun;Saxony;;;
1204;1223;65;University of Passau;https://howtoabroad.com/university-of-passau/;Master;Master;Passau;Master of Arts in International Cultural and Business Studies;40 (For International Business);English, German;;;;;None;;Winter, Summer;30-Jun;31-Jan;4 semesters;https://www.uni-passau.de/en/ma-icbs/;https://www.uni-passau.de/en/apply/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/07/800px-Uni_Passau-Logo.svg_.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4017/;11-Jun;Bavaria;;;
1205;155;10;University of Freiburg;https://howtoabroad.com/university-of-freiburg/;Master;Master;Freiburg;Master of Arts in Linguistics/Linguistik;7 (For Linguistics);English, German;;;;;Varied;;Winter;31-Jul;;4 semesters;https://www.studium.uni-freiburg.de/en/program-offerings/masters/info/683;https://campus.uni-freiburg.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/08/University-of-Freiburg.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4522/;11-Jun;Baden-Wurttemberg;;;
1206;73;2;University Heidelberg;https://howtoabroad.com/heidelberg-university/;Master;Master;Heidelberg;Master of Arts in Political Science / Master of Arts Politikwissenschaft;9 (For Political Economy);English, German;;;;;Varied;;Winter, Summer;15-Jun;15-Nov;4 semesters;https://www.uni-heidelberg.de/politikwissenschaften/master.html;https://www.uni-heidelberg.de/politikwissenschaften/bewerbung_master.html;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/09/14595747_1222296637809037_8045920159707819886_n.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4177/;11-Jun;Baden-Wurttemberg;;;
1207;436;39;Bielefeld University;https://howtoabroad.com/bielefeld-university/;Master;Master;Bielefeld;Master of Arts InterAmerican Studies / Estudios InterAmericanos;;English, Spanish;;;;;None;;Winter, Summer;15-Jul;15-Jan;4 semesters;https://ekvv.uni-bielefeld.de/sinfo/publ/variante/125499595;https://movein-uni-bielefeld.moveonnet.eu/movein/portal/studyportal.php;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/04/BBielefeld.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4102/;11-Jun;North Rhine-Westphalia;;;
1208;5248;174;Biberach University of Applied Sciences - Architecture and Construction, Business and Biotechnology;https://howtoabroad.com/biberach-university-of-applied-sciences/;Master;Master;Biberach an der Riss;Master of Engineering Management (MEM);NA;English, German;;;;;None;;Winter, Summer;31-Mar;15-Jan;3 semesters;https://www.hochschule-biberach.de/engineering-management;https://ecampus.hochschule-biberach.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces?chco=y;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/11/Biberach-University-of-Applied-Sciences.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6115/;11-Jun;Baden-Wurttemberg;;;
1209;131;6;University of Hamburg;https://howtoabroad.com/the-university-of-hamburg/;Master;Master;Hamburg;Master of International Taxation (M.I.Tax);;English, German;;;;;€ 6250,0;Semester;Winter;15-Jul;;3 semesters;https://www.uni-hamburg.de/en/campuscenter/studienangebot/studiengang.html?1115111069#:~:text=Program%20description&text=The%20continuing%20studies%20program%20%22Master,experts%20to%20solve%20complex%20problems.;https://www.jura.uni-hamburg.de/forschung/institute-forschungsstellen-und-zentren/iifs/mitax/bewerbung-zulassung.html;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/09/university-hamburg.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3649/;11-Jun;Hamburg State;;;
